"Data Source:","http://breachlevelindex.com/#!breach-database","Retrieved February 23, 2015",,,,,,
1503,"Altech Autopage",07/02/14,45,"South Africa","Retail","Accidental Loss","Nuisance",2.4
1504,"UK constable",07/01/14,2,"United Kingdom","Government","Malicious Insider","Identity Theft",2.4
1505,"The National Institute of Water and Atmospheric Research",05/26/14,"Unknown","New Zealand","Government","State Sponsored","Existential Data",2.4
1506,"United States Steel Corp. Alcoa Inc. and Westinghouse Electric Co, Eric Holder, Allegheny Technologies Inc. (NYSE: ATI)",05/19/14,"Unknown","United States","Other","State Sponsored","Existential Data",2.4
1507,"Belgian foreign ministry servers",05/02/14,"Unknown","Belgium","Government","State Sponsored","Existential Data",2.4
1508,"squareup",04/22/14,26,"United States","Technology","Accidental Loss","Account Access",2.4
1509,"U.S. Central Command",03/14/14,"Unknown","United States","Government","State Sponsored","Existential Data",2.4
1510,"Malaysia Airlines",03/09/14,"Unknown","Malaysia","Retail","State Sponsored","Existential Data",2.4
1511,"Albany Airport",05/16/13,6,"United States","Other","Malicious Outsider","Account Access",2.4
1512,"Xerox",02/22/13,13,"United States","Technology","Accidental Loss","Identity Theft",2.4
1513,"Aspen",02/05/13,3,"United States","Other","Malicious Outsider","Account Access",2.4
1514,"Moser and Siragua",02/11/15,"Unknown","United States","Technology","Malicious Outsider","Existential Data",2.3
1515,"Defense Contract Management Agency, Department of Defense",02/03/15,"Unknown","United States","Government","Malicious Outsider","Existential Data",2.3
1516,"National Security",01/25/15,"Unknown","United States","Government","Malicious Outsider","Existential Data",2.3
1517,"Madona",12/27/14,"Unknown","United States","Other","Malicious Outsider","Existential Data",2.3
1518,"Australian Communications and Media Authority (ACMA), the Victoria Police, the Australian Nuclear Science",12/16/14,"Unknown","Australia","Government","Malicious Outsider","Existential Data",2.3
1519,"Exeter High School",12/15/14,1,"United Kingdom","Education","Malicious Outsider","Existential Data",2.3
1520,"Plaistow town",12/12/14,3,"United States","Government","Malicious Insider","Account Access",2.3
1521,"Canada's Electronic Surveillance Agency",12/08/14,"Unknown","Canada","Government","Malicious Outsider","Existential Data",2.3
1522,"OVH.com",12/02/14,"Unknown","France","Technology","Malicious Outsider","Existential Data",2.3
1523,"M&T Bank",11/22/14,2,"United States","Financial","Malicious Insider","Financial Access",2.3
1524,"Legal Content Database",11/20/14,"Unknown","Greece","Government","Malicious Outsider","Existential Data",2.3
1525,"BYU-Idaho",11/18/14,1,"United States","Education","Malicious Outsider","Existential Data",2.3
1526,"North Shore Hospital",11/11/14,11,"New Zealand","Healthcare","Accidental Loss","Identity Theft",2.3
1527,"Uber",11/05/14,9,"United States","Technology","Accidental Loss","Identity Theft",2.3
1528,"Nevada Secretary of State",10/30/14,"Unknown","United States","Government","Malicious Outsider","Existential Data",2.3
1529,"NFC Ticketing",10/21/14,"Unknown","Chile","Financial","Malicious Outsider","Existential Data",2.3
1530,"VCCorp",10/14/14,"Unknown","Vietnam","Technology","Malicious Outsider","Existential Data",2.3
1531,"Dominica's Central Registry Office",10/03/14,"Unknown","Dominican Republic","Government","Malicious Outsider","Existential Data",2.3
1532,"Hong Kong Citizens",10/01/14,"Unknown","Hong Kong","Government","State Sponsored","Identity Theft",2.3
1533,"Justice Ministry",09/23/14,"Unknown","Japan","Government","Malicious Outsider","Existential Data",2.3
1534,"Pella Regional Health Center",09/09/14,11,"United States","Healthcare","Accidental Loss","Identity Theft",2.3
1535,"T-Mobile",09/08/14,"Unknown","United States","Technology","Malicious Outsider","Existential Data",2.3
1536,"Georgia's Ministry of Internal Affairs and its Ministry of Defence",09/07/14,"Unknown","United States","Government","Malicious Outsider","Existential Data",2.3
1537,"MH17 plane",09/03/14,"Unknown","Malaysia","Government","Malicious Outsider","Existential Data",2.3
1538,"Oil and Energy in Norway Companies",08/26/14,"Unknown","Norway","Government","Malicious Outsider","Existential Data",2.3
1539,"ekhbariyatv.sa",08/15/14,"Unknown","Libya","Other","Malicious Outsider","Existential Data",2.3
1540,"Verizon, Virginia Information Technologies Agency (VITA)",08/06/14,"Unknown","United States","Other","Malicious Outsider","Existential Data",2.3
1541,"Gamma International (FinFisher)",08/06/14,"Unknown","United Kingdom","Technology","Malicious Outsider","Existential Data",2.3
1542,"Delaware Restaurant Associatio",07/23/14,"Unknown","United States","Retail","Malicious Outsider","Existential Data",2.3
1543,"Wall Street Journal",07/22/14,"Unknown","United States","Other","Malicious Outsider","Existential Data",2.3
1544,"BigBoss",07/20/14,"Unknown","United Arab Emirates","Technology","Malicious Outsider","Existential Data",2.3
1545,"Indexeus",07/19/14,"Unknown","Portugal","Technology","Malicious Outsider","Existential Data",2.3
1546,"electricity generation firms, petroleum pipeline operators and industrial equipment",07/03/14,"Unknown","United States","Government","Malicious Outsider","Existential Data",2.3
1547,"Valencia bank",07/02/14,2,"United States","Financial","Malicious Insider","Financial Access",2.3
1548,"College of the Desert",06/26/14,10,"United States","Education","Accidental Loss","Identity Theft",2.3
1549,"UK government network",06/20/14,"Unknown","United Kingdom","Government","Malicious Outsider","Existential Data",2.3
1550,"Italian middle school",06/20/14,"Unknown","Italy","Education","Malicious Outsider","Existential Data",2.3
1551,"Code Spaces",06/17/14,"Unknown","United States","Technology","Malicious Outsider","Existential Data",2.3
1552,"Orange High Scholl",06/14/14,"Unknown","United States","Education","Malicious Outsider","Existential Data",2.3
1553,"U.S. Department of Homeland Security (DHS)-ICS-CERT",05/20/14,"Unknown","United States","Government","Malicious Outsider","Existential Data",2.3
1554,"Chinese game company",05/13/14,"Unknown","China","Technology","Malicious Outsider","Existential Data",2.3
1555,"Dr Michael M.krop Senior High",05/04/14,"Unknown","United States","Education","Malicious Outsider","Existential Data",2.3
1556,"East Lansing Public Schools",05/03/14,"Unknown","United States","Education","Malicious Outsider","Existential Data",2.3
1557,"Victoria's Secret (UK)",04/26/14,"Unknown","United Kingdom","Retail","Malicious Outsider","Existential Data",2.3
1558,"Finland Government",04/03/14,"Unknown","Finland","Government","Malicious Outsider","Existential Data",2.3
1559,"Al Arabiya",04/03/14,"Unknown","United States","Other","Malicious Outsider","Existential Data",2.3
1560,"Southwood High School",03/20/14,"Unknown","United States","Education","Malicious Outsider","Existential Data",2.3
1561,"Sonata Software Limited",01/05/14,"Unknown","United States","Technology","Malicious Outsider","Existential Data",2.3
1562,"Finnish Foreign Service",11/02/13,"unknown","Finland","Government","Malicious Outsider","Existential Data",2.3
1563,"AAPT",10/07/13,"unknown","Australia","Technology","Malicious Outsider","Existential Data",2.3
1564,"The official presentation of the state government, National Data Center in Hall Saxony-Anhalt",09/24/13,"unknown","Germany","Government","Malicious Outsider","Existential Data",2.3
1565,"Miss Teen USA",08/08/13,"unknown","United States","Other","Malicious Outsider","Existential Data",2.3
1566,"Regional Medical Center Bayonet Point",06/25/13,10,"United States","Healthcare","Accidental Loss","Identity Theft",2.3
1567,"Ubisoft Entertainment",03/13/13,"unknown","France","Technology","Malicious Outsider","Existential Data",2.3
1568,"Defense Research And Development Organization",02/13/13,"unknown","India","Government","Malicious Outsider","Existential Data",2.3
1569,"City Of York Council",02/08/13,49,"United Kingdom","Government","Accidental Loss","Identity Theft",2.3
1570,"TurboTax",02/06/15,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1571,"CICS Employment Services Inc",02/03/15,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1572,"Liberty Tax Service",02/01/15,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1573,"Bank of Montreal, Royal Bank of Canada, and National Bank of Canada",01/29/15,"Unknown","Canada","Financial","Malicious Outsider","Identity Theft",2.2
1574,"Malaysia Airlines",01/26/15,"Unknown","Malaysia","Other","Malicious Outsider","Identity Theft",2.2
1575,"Metropolitan Life Insurance Company",01/22/15,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1576,"French Lick Resort",01/21/15,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1577,"London police",01/16/15,"Unknown","United Kingdom","Government","Malicious Insider","Existential Data",2.2
1578,"LinkedIn",01/15/15,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1579,"University Medical Center Groningen (Groningen Hospital)",01/15/15,"Unknown","Netherlands","Healthcare","Malicious Outsider","Identity Theft",2.2
1580,"Chinese Military Manufacturer's Research Centre",01/02/15,"Unknown","China","Government","Malicious Insider","Existential Data",2.2
1581,"TPG",12/31/14,"Unknown","Australia","Financial","Malicious Insider","Existential Data",2.2
1582,"Elgin Area District U-46",12/20/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1583,"Valplast",12/18/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1584,"Metropolitan State University",12/15/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1585,"Nike",12/10/14,"Unknown","United States","Other","Malicious Insider","Existential Data",2.2
1586,"University of Oklahoma Health Sciences Center",12/08/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1587,"Norfolk Naval Shipyard",12/05/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1588,"Missouri State Employees Retirement System (MOSERS)",12/05/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1589,"Fast Forward Academy",12/03/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1590,"Corday Productions",11/25/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1591,"Franciscan Health Systems, Tacoma hospital",11/22/14,"Unknown","United States","Healthcare","Malicious Insider","Existential Data",2.2
1592,"Prince George's County Public School System",11/21/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1593,"State Department",11/20/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1594,"New Hanover County Board of Elections",11/20/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1595,"Amex (American Express)",11/14/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1596,"ICANN ( The Internet Corporation for Assigned Names and Numbers)",11/09/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1597,"Pacific Supply, Experian",11/09/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1598,"Stephen Phillips Memorial Scholarship Fund",11/06/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1599,"Whitehouse Independent School District (Louisiana archival service)",11/04/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1600,"Turkey's Aviation Association",11/04/14,"Unknown","Turkey","Government","Malicious Insider","Existential Data",2.2
1601,"Clay County Hospital",11/02/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1602,"U.S Navy",11/01/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1603,"Pingtung County",10/31/14,"Unknown","China","Government","Malicious Insider","Existential Data",2.2
1604,"Freeborn County Sheriff's administration",10/31/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1605,"edu domain",10/31/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1606,"Drupal security",10/29/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1607,"Lucy Gomez Blanking Interpreting ( California State Compensation Insurance Fund)",10/24/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1608,"Everglades Federal Credit Union (Experian)",10/22/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1609,"Tribeca Medical Center",10/21/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1610,"American Residuals and Talent",10/18/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1611,"Cultivian Ventures",10/17/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1612,"Warren County Public Schools",10/16/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1613,"Warren County Public School",10/16/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1614,"G.H. Bass & Co",10/10/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1615,"Sausalito Yacht Club",10/01/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1616,"Lincoln Prairie Elementary School",09/30/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1617,"Essex Property Trust",09/29/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1618,"National Express (Manage Booking)",09/25/14,"Unknown","United Kingdom","Government","Malicious Outsider","Identity Theft",2.2
1619,"Shorter University",09/23/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1620,"iThemes",09/23/14,"Unknown","United States","Retail","Malicious Insider","Existential Data",2.2
1621,"jQuery",09/18/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1622,"Oxford County public health",09/16/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1623,"Aquarian Water Company , DHL&S (Dworken, Hillman, LaMorte)",09/12/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1624,"Camp Bow Wow Franchising",09/11/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1625,"Cranel",09/08/14,"Unknown","United States","Technology","Malicious Insider","Existential Data",2.2
1626,"Shilin Military Police Station",09/05/14,"Unknown","Taiwan","Government","Malicious Insider","Existential Data",2.2
1627,"People's Liberation Army (PLA)",09/03/14,"Unknown","Vietnam","Government","Malicious Insider","Existential Data",2.2
1628,"eBay",09/03/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1629,"Tesco",09/02/14,"Unknown","United States","Technology","Malicious Insider","Existential Data",2.2
1630,"ProLogic",09/02/14,"Unknown","United States","Technology","Malicious Insider","Existential Data",2.2
1631,"Kreuz Market",09/02/14,"Unknown","United States","Retail","Malicious Insider","Existential Data",2.2
1632,"Experian",09/02/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1633,"Hillsborough Hospital",09/01/14,"Unknown","Canada","Healthcare","Malicious Outsider","Identity Theft",2.2
1634,"Ameriprise Financial Services, Real estate development company",08/30/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1635,"MI5",08/29/14,"Unknown","United Kingdom","Government","Malicious Insider","Existential Data",2.2
1636,"Valley Credit Union, Credential Financial Strategies",08/27/14,"Unknown","Canada","Financial","Malicious Insider","Existential Data",2.2
1637,"Fairfield Police",08/22/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1638,"Blockchain.info ( Bitcoin wallet )",08/21/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1639,"Transport Canada",08/06/14,"Unknown","Canada","Government","Malicious Outsider","Identity Theft",2.2
1640,"Foreign Affairs and Trade",08/06/14,"Unknown","Canada","Government","Malicious Outsider","Identity Theft",2.2
1641,"Employment and Social Development",08/06/14,"Unknown","Canada","Government","Malicious Outsider","Identity Theft",2.2
1642,"Department of Homeland Security (USIS)",08/06/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1643,"Lyft",08/04/14,"Unknown","United States","Other","Malicious Insider","Existential Data",2.2
1644,"Agency of Human Services, Department for Children and Families",07/30/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1645,"Mayo Clinic",07/17/14,"Unknown","United States","Healthcare","Malicious Insider","Existential Data",2.2
1646,"American Express",07/17/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1647,"Hotels business center",07/14/14,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1648,"Charles Schwab & Co",07/02/14,"Unknown","United States","Financial","Malicious Insider","Existential Data",2.2
1649,"FAIRWAT",07/01/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1650,"Record Assist LLC",06/27/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1651,"NRG Assets",06/27/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1652,"Imhoff & Associates",06/27/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1653,"National Informatics Centre",06/25/14,"Unknown","India","Government","Malicious Outsider","Identity Theft",2.2
1654,"Baptist Child and Family Services",06/23/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1655,"New Jersey School",06/20/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1656,"Tennessee Prison for Women",06/18/14,5,"United States","Government","Malicious Insider","Nuisance",2.2
1657,"Fidelity National Financial",06/12/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1658,"GoSignMeUp, University of California, Washington Center (UCDC)",06/08/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1659,"Askmen.com",06/08/14,"Unknown","Canada","Other","Malicious Outsider","Identity Theft",2.2
1660,"National Credit Adjusters",06/06/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1661,"Office Holdings LTD",05/29/14,"Unknown","United Kingdom","Retail","Malicious Outsider","Identity Theft",2.2
1662,"Spotify",05/27/14,1,"Sweden","Technology","Malicious Outsider","Identity Theft",2.2
1663,"Benjamin F. Edwards",05/27/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1664,"LifeLock",05/25/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1665,"ManagedMed",05/15/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1666,"Wright-Patterson Air Force Base",05/14/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1667,"University of Nebraska",05/11/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1668,"U.S. Military aircraft",05/08/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1669,"Bitly",05/08/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1670,"Moshtix",05/07/14,"Unknown","Australia","Retail","Malicious Outsider","Identity Theft",2.2
1671,"Power Equipment Direct",05/05/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1672,"Stratford City",05/03/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1673,"Joint Chiefs of Staff building",05/03/14,"Unknown","Korea","Government","Malicious Insider","Existential Data",2.2
1674,"Medical associations in Arizona, Connecticut, Indiana, Maine, Michigan, North Carolina and Vermont",04/25/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1675,"AT&T Mobility",04/21/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1676,"Akrif bank",04/18/14,"Unknown","Turkey","Financial","Malicious Outsider","Identity Theft",2.2
1677,"Michigan Dental Association",04/11/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1678,"Start-Rite",04/08/14,"Unknown","United Kingdom","Retail","Malicious Outsider","Identity Theft",2.2
1679,"Oil company",04/08/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1680,"Laurelville police",04/08/14,"Unknown","United States","Government","Malicious Insider","Existential Data",2.2
1681,"Australian resource and mining, financial services, and telecommunications",04/03/14,"Unknown","Australia","Other","Malicious Outsider","Identity Theft",2.2
1682,"CenturyLink",04/02/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1683,"Placemark Investments",04/01/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1684,"LinkedIn",03/31/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1685,"Catholic Health Initiatives",03/30/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1686,"Precision Planting",03/27/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1687,"Indian residential school survivors",03/27/14,"Unknown","Canada","Education","Malicious Outsider","Identity Theft",2.2
1688,"Createthe Group",03/27/14,"Unknown","United Kingdom","Retail","Malicious Outsider","Identity Theft",2.2
1689,"University of California _ Irvine",03/26/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1690,"society for science & the public",03/24/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1691,"Electronic Arts, Apple",03/18/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1692,"Arcadia Home Care & Staffing",03/18/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1693,"Citroen Germany GmbH",03/17/14,"Unknown","Germany","Retail","Malicious Outsider","Identity Theft",2.2
1694,"Trading Firm",03/14/14,"Unknown","United States","Financial","Malicious Insider","Existential Data",2.2
1695,"Toshiba Corp",03/13/14,"Unknown","Japan","Retail","Malicious Insider","Existential Data",2.2
1696,"University of Central Oklahoma",03/12/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1697,"University of North Carolina",03/08/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1698,"North Springs Charter High School",03/06/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1699,"JCM Partners",03/06/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1700,"Dixon Public Schools",03/01/14,"Unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1701,"PREIT (Pennsylvania Real Estate Investment Trust), UltiPro",02/23/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1702,"Adobe Flash",02/21/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1703,"Silversage Advisors",02/20/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1704,"CalRecycle, Department of Resources Recycling and Recovery",02/20/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1705,"FujiFilm North America",02/14/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1706,"Kmart",02/07/14,"Unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1707,"Treasure Island Media",02/04/14,"Unknown","United States","Other","Malicious Insider","Existential Data",2.2
1708,"Continental American Insurance Company",01/31/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1709,"Experian, Colorado Bureau of Investigation",01/30/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1710,"BAFTA GURU",01/30/14,"Unknown","United Kingdom","Healthcare","Malicious Outsider","Identity Theft",2.2
1711,"Oak Associates Funds",01/27/14,"Unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1712,"Alaska Communications",01/27/14,"Unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1713,"State Bar of Nevada",01/23/14,"Unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1714,"Tadych's Econofoods",01/08/14,"Unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1715,"Coupon apps",01/08/14,"Unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1716,"The Himalayan Times",01/02/14,"Unknown","Nepal","Other","Malicious Outsider","Identity Theft",2.2
1717,"Michael Schumacher",01/01/14,1,"United Kingdom","Healthcare","Malicious Outsider","Identity Theft",2.2
1718,"Actelis Networks",12/31/13,"unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1719,"T-Mobile USA",12/30/13,"unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1720,"RegistratioNation",12/30/13,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1721,"Ohio Department of Job and Family Services",12/15/13,"unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1722,"T-Mobile Supplier",11/30/13,"unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1723,"Flamingo Resort and Spa",11/21/13,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1724,"Peoples Trust Company",11/04/13,"unknown","Canada","Financial","Malicious Outsider","Identity Theft",2.2
1725,"North Georgia Technical College",11/02/13,"unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1726,"HSBC",11/01/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1727,"Anthem Blue Cross",10/24/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1728,"U.S. government computer systems",10/15/13,"unknown","United Kingdom","Government","Malicious Insider","Existential Data",2.2
1729,"The Australian",10/06/13,"unknown","Australia","Other","Malicious Outsider","Identity Theft",2.2
1730,"Crown Castle",10/03/13,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1731,"Alabama's Colonial Properties Trust",10/02/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1732,"Drew University",10/01/13,"unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1733,"Dr. Carol L. Patrick, clinical psychologist",10/01/13,"unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1734,"Cleveland Institute of Music",09/18/13,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1735,"Executive Accounting Services, Inc",09/17/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1736,"PayJunction",09/16/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1737,"NBC Sports",08/24/13,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1738,"Exelixis",08/24/13,"unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1739,"Legal Aid Society of San Mateo County",08/12/13,"unknown","United States","Other","Malicious Outsider","Identity Theft",2.2
1740,"Southern Primary Health Organization",08/06/13,"unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1741,"Osprey Packs",07/30/13,"unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1742,"Ektron",06/15/13,"unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1743,"Barry University",05/14/13,"unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1744,"Emory University",05/03/13,"unknown","United States","Education","Malicious Outsider","Identity Theft",2.2
1745,"Tucson doctor",04/18/13,8,"United States","Healthcare","Accidental Loss","Identity Theft",2.2
1746,"The Social Security Administration",04/14/13,"unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1747,"Macy's",04/14/13,"unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1748,"Kathleen Whisman",04/11/13,"unknown","United States","Healthcare","Malicious Outsider","Identity Theft",2.2
1749,"Talk Fusion's",02/13/13,"unknown","United States","Technology","Malicious Outsider","Identity Theft",2.2
1750,"Stanley Black And Decker Inc.",02/13/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1751,"Mercedes Benz",02/13/13,"unknown","United States","Retail","Malicious Outsider","Identity Theft",2.2
1752,"Hotusa Group",02/13/13,"unknown","Spain","Government","Malicious Outsider","Identity Theft",2.2
1753,"Ge Capital",02/13/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1754,"Foreigners Division In The Union Home Ministry",02/13/13,"unknown","India","Government","Malicious Insider","Existential Data",2.2
1755,"First National Bank Of Southern California",02/13/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1756,"Equifax, Transunion, Experian",02/13/13,"unknown","United States","Financial","Malicious Outsider","Identity Theft",2.2
1757,"Codeusa Software",02/13/13,"unknown","United States","Government","Malicious Outsider","Identity Theft",2.2
1758,"Cumbria police",02/15/15,"Unknown","England","Government","Malicious Insider","Identity Theft",2.1
1759,"Book2Park",02/02/15,"Unknown","United States","Other","Malicious Outsider","Financial Access",2.1
1760,"SunTrust ATM",01/31/15,"Unknown","United States","Financial","Malicious Outsider","Financial Access",2.1
1761,"Greers Dry Cleaning",01/29/15,"Unknown","United States","Retail","Malicious Outsider","Financial Access",2.1
1762,"Local Businesses in Marquette",01/28/15,"Unknown","United States","Other","Malicious Outsider","Financial Access",2.1
1763,"Worldwide Wine & Spirits",01/28/15,"Unknown","United States","Retail","Malicious Outsider","Financial Access",2.1
1764,"American Express Travel Services",01/27/15,"Unknown","United States","Financial","Malicious Outsider","Financial Access",2.1
